DOI,TREATMENT,INOCTYPE,RESPONSE,SOILTYPE,FIELDGREENHOUSE,LANDUSE,ECOTYPE,ECOREGION,LOCATION
10.1016/j.jhazmat.2020.124325,Nramp5; combined treatments; Cd; AMF,arbuscular mycorrhizal fungi; AMF inoculation,biomass length; rice reduced yield; plant growth,Cd-contaminated soil,pot rhizo-box; land-use,lower bioaccumulation transfer; crops; agricultural,nigrum; rice; rice brown; upland; Solanum; intercropping; intercropping fungi; nigrum S.; upland rice; A Cd-hyperaccumulator L.; Intercropping,,
10.3390/microorganisms8111695,field-sourced native consortium; the C biofertilizers selected; R; in combination; tri-combination CMR; The tri-combination CMR; MR inoculation; non-saline high-saline NaCl; non-saline high-saline,arbuscular mycorrhizal fungi; rhizobium,growth functioning concentration; plant growth,,,agricultural,alfalfa,,
10.1007/s10646-020-02298-x,AgNPs Ag<sup>+</sup; silver; Ag; AM inoculation; AgNPs mg/kg; AgNPs < Ag<sup>+</sup sup>+</sup; low; Ag<sup>+</sup; the treatments; Ag extractable; AgNPs Ag<; mycorrhizal inoculation; equivalent Ag<sup>+</sup>.; AgNPs; AgNPs < Ag<sup>+</sup; higher fungitoxicity colonization; P fertilization; soil biota; AgNPs < Ag<,arbuscular mycorrhizal fungi; Rhizophagus intraradices,the growth uptake; plant biomass; plant growth,,greenhouse pot,,maize exposed; maize,,
10.3390/ijms21217987,Inoculation; endophytic; autoclaved soil; soil inoculation control; drought most; (well-watered; water regime; RWC; the microbiome; the drought most; three mycorrhizal levels; three; drought; autoclaved soil inoculation; AMF; natural inoculation; mycorrhizal fungi,arbuscular mycorrhizal fungi (AMF); Rhizophagus irregularis; endophytic core microbiome; Rhizophagus irregularis control; the mycorrhizal irregularis fungi R.,the growth activity; enhanced aboveground biomass weight; dry weight; growth; plant growth; root growth,,the field; greenhouse,,spelta; Badenkrone Zollernspelz'; Zollernspelz' variety; T. aestivum; Triticum; wheat; aestivum; spelt common; spelt,,Badenkrone
10.1007/s00572-020-00991-7,inoculated mosseae; the samarium-spiked control; samarium; non-mycorrhizal; non-spiked control,Funneliformis mosseae; a metal-tolerant Funneliformis mosseae; arbuscular mycorrhiza inoculation; Arbuscular mycorrhizae; mosseae F.; arbuscular mycorrhizal plants; arbuscular mycorrhizal fungi,growth; The biomass grown; plant growth,metal-contaminated soils; rare-earth-contaminated soils,pot experiment; field; pot; pot compartmented,contaminated; over-exploitation soil contamination; over-exploitation contamination,phytorestoration; alfalfa,,
10.1016/j.ecoenv.2020.111495,Cu; non-inoculated NM; NM; CC; CC NM; AMF; non-inoculated,Claroideoglomus claroideum CC; AMF inoculation; Arbuscular mycorrhizal fungi (AMF); Claroideoglomus claroideum,biomass; the growth; plant growth,compost application; contaminated soils,pots; greenhouse,mine; Cu mine; the remediation,O. picensis; Oenothera picensis,,
10.1007/s11356-020-10636-z,lead; inoculation; in combination; earthworms; Pb soil-available; PGPR earthworms inoculation; PGPR earthworms; PGPR epigeic; PGPR; alone; triple inoculation; Pb; AM fungi,arbuscular mycorrhizal (AM); plant growth-promoting rhizobacteria,Plant biomass; the growth,Pb-polluted sites,,polluted,Bermuda grass; Cynodon dactylon,,
10.1371/journal.pone.0234099,ectomycorrhizal fungal; colonized; three; ectomycorrhizal,ectomycorrhizal fungi; ectomycorrhizal fungal,growth; dry biomass; dry biomasses,,,,S. spraguei; P. strobus; Suillus; Pinus strobus; Suillus subaureus,,
10.3390/plants9080975,Inoculation; sterilized uncontaminated; nodule; particularly inoculated SGE; had Inoculation irrespective; inoculated; inoculated SGECd; Cadmium Cd; uninoculated; HM; Cd; Cd-tolerant microorganisms; Cd-treated; Cd-supplemented; SGE; Cd-tolerant micro-symbionts; Cadmium,pea; bacterium nodule Rhizobium leguminosarum bv; Variovorax; Rhizobium bv; leguminosarum bv; bacterium bv; paradoxus; plant growth-promoting rhizobacterium; arbuscular mycorrhizal fungus Glomus,growth; shoot biomass; juncea biomass B.; plant growth; pea biomass more doubled genotypes,Polluted soils; toxic soil pollutants,pots,Cd contamination; remediated,pea; L. Brassica juncea Czern; Pisum; the Cd-tolerant pea; sativum,,
10.1016/j.micres.2020.126556,three bacteria; PSBs These; PSBs; nylon mesh; single co-inoculations; single inoculations; AMF; PSB; phosphate solubilizing bacteria; combined microbial inoculum,arbuscular mycorrhizal fungi (AMF); genus Pseudomonas,plant biomass; growth uptake; plant growth,,,,Allium ampeloprasum; Solanum lycopersicum,,
10.1016/j.ecoenv.2020.110988,80%; AMF-assisted; FM; FM inoculation; HM; Cd; Cd levels; deionized water; heavy metal,Arbuscular mycorrhizal fungus (AMF); the AMF-Funneliformis mosseae FM,concentration biomasses; plant growth,Cd-contaminated soil; HM-polluted soils; Cd-polluted soil,pot greenhouse,phytoextraction; contaminated; the remediation,S. calendulacea with; a Cd-hyperaccumulator; Sphagneticola calendulacea; calendulacea S.,,a Cd-hyperaccumulator Overall typical relieved
10.1016/j.jtemb.2020.126594,soil inoculation; combined treatment; mycorrhizal fungi; AMF copper; AIM; control; AM fungus; other soil microbial groups; the presence absence; AM fungal; presence absence; the treatments; the presence absence treatments; non-contaminated soils; AMF; Treatments; saprophytic fungi,arbuscular mycorrhizal (AM); intraradices R.; fungus; Arbuscular mycorrhizal fungi (AMF); fungus Rhizophagus intraradices groups; Rhizophagus intraradices; saprophytic fungi,the biomass; plant biomass; plant growth,,microcosm,contaminated; artificially contaminated,Centaurea; herb; species Poa compressa; Festuca rubra,,
10.13227/j.hjkx.201906119,denitrifying bacteria; mycorrhizal fungi how; control group; MF-MD inoculation; groups; nitrifying bacteria; nitrogen eutrophication; Uninoculated plants; rhizospheric soil microbial biomass; inoculation; mycorrhizal fungi,,microbial biomass,,,,Acorus tatarinowii; Cyperus alternifolius,,
10.3390/plants9070804,soil inoculation; combined inoculation; Se I antioxidant; biofortification AMF; untreated control; single iodine application; Se; selenium Se; Se I; joint single; AMF,arbuscular mycorrhizal fungi (AMF); AMF inoculation,dry weight; biomass; the residual biomass; plant growth,,,vegetable crops; farming,,,southern Italy
10.1016/j.ecoenv.2020.110869,Cr; triple treatment; inoculated; inoculated mixed-culture; (Cr; combination; Chromium Cr; AM fungi,terreus; Arbuscular mycorrhizal (AM); Aspergillus terreus; saprophytic filamentous fungi; terreus A.,biomass,polluted soils,field,polluted; agricultural; Chromium contamination; heavy metal,Tomato plants,,
10.3390/jof6020087,Cu Sn soil; EM; Cu Pb; ectomycorrhizal; inoculated; all treatments; drought metal; dual inoculation; single simultaneous; an EM; the EM; Ba Cd; Cd; Cu Pb Sn soil; Ba Cd Zn; an AM fungus; AM fungi; mycorrhizal fungi,arbuscular mycorrhizal (AM); Rhizophagus irregularis; AM fungus Rhizophagus irregularis brunnea; brunnea S.; EM fungus irregularis Sphaerosporella brunnea mixture,biomass; aerial plant biomass; biomass higher; growth; the element growth potential,,field experiment,,decommissioned; willows; Fast growing high biomass willows sp.; willows the inoculated; willows the,,
10.3390/microorganisms8060899,Artemisinin; control plants; low; treatment AMF; Gleysol Anthrosol peat; soil types; Gleysol Anthrosol; PPO; AMF; sterile peat; malaria treatment,fungus AMF Rizophagus irregularis; irregularis R.; arbuscular mycorrhizal fungus (AMF); Rizophagus irregularis,oil yield; plant biomass; biomass density concentration quantity,,field,peat,potted plants; Artemisia annua; Artemisia plants; annua,,Luvisol Gleysol
10.1007/s00572-020-00962-y,ergosterol; Inoculation; colonized; single inoculation; no fungus; four; dual inoculation; single dual inoculation; treatment; four replications; inoculation; control plants; mycorrhizal fungi,indica indica irregularis irregularis S.; indica irregularis S.; R. irregularis; arbuscular mycorrhizal fungal; indica R. irregularis; R. irregularis ergosterol; endophytic fungus; indica,dry weight; plant biomass; tomato growth,,,,Tomato; S. indica +; tomato; endophytic fungus Serendipita indica; indica S.,,
10.1007/978-1-0716-0603-2_3,membranes; ERM; other mycorrhizal; Petri dish; AMF inoculated; inoculated removed; AMF,arbuscular mycorrhizal fungi (AMF); arbuscular mycorrhizas,ERM fresh biomass,,,,,,
10.1007/s00572-020-00957-9,inoculation different genera; BEG13; the non-inoculated controls; non-inoculated controls; three levels; inoculation; control plants; in combination; a combination; three genera; AMF; non-inoculated; low AMF treatments; salt stress; salt levels; BEG13 BEG34; AMF-inoculated; three; the low AMF diversity treatments; groundwater,arbuscular mycorrhizal fungi (AMF); Funnelliformis mosseae BEG12 laevis margarita; mosseae Acaulospora laevis BEG13; Gigaspora margarita; Acaulospora laevis; AMF inoculation; mosseae Gigaspora margarita BEG34,growth yield; growth yield tolerance; yield rice; yield grain; root biomass; growth yield grain; crop growth yield,Soil salinization,greenhouse,agronomic; crop,Bangladeshi; crop; rice,,
10.3390/microorganisms8040602,PHs; rhizospheric soil; AMF associated; treatments; microbial inoculations; contaminated sediments; a inoculation consortium bacterial composed; four; associated repeated inoculations; a inoculation consortium bacterial; inoculation; Proteobacteria consortium; AMF; repeated inoculation,indigenous plants; bacterial; arbuscular mycorrhizal fungi; Arbuscular mycorrhizal fungi (AMF),the identity biotope; growth; increased agricultural crop yields performance; biotope; plant biomass,petroleum hydrocarbons; contaminated soil,a greenhouse; mesocosm experiment,the substrate contamination; crop; contaminated contaminated contamination not; agricultural; contaminated contaminated; substrate contamination; contaminated; contaminated non-contaminated,,,
10.1186/s40529-020-00290-6,damage the; salt stress; salt injury; AMF,Arbuscular mycorrhizal fungi inoculation; Halophytes; Arbuscular mycorrhizal fungi (AMF); Arbuscular mycorrhizal fungi,biomass; growth; plant growth,high soil salinity,,glycophytes both halophytes; glycophytes halophytes,,,
10.3390/jof6020044,Mo; As; Mo-contamination; molybdenum (Mo) Mo; PS,arbuscular mycorrhizal fungal; Arbuscular mycorrhizal fungi; Claroideoglomus etunicatum; arbuscular mycorrhizal inoculation; Arbuscular mycorrhizal inoculation; arbuscular mycorrhizal fungi,biomass; plant biomass,,,agricultural; a biofuel crop sorghum grown,Sweet sorghum,terrestrial environments,
10.1016/j.envpol.2020.114406,Cd the; inoculated; an AMF compartments inoculation treatment; a the treatment non-inoculation; Cd; treatment non-inoculation; three; soil layers; AMF; Cadmium,arbuscular mycorrhizal fungi (AMF); AMF inoculation,maize biomass uptake increased; maize biomass uptake,Cd-polluted soils,,a lead-zinc mine,Maize; maize; wasteland farmland,,Yunnan Province; Southwest China
10.1016/j.ecoenv.2020.110485,Cd BDE-209; Inoculation; decabromodiphenyl ether; BDE-209 addition; Cd O-extractable; non-mycorrhizal treatment; Cd; BDE-209; Cd activities; cadmium ( Cd ether; Cd addition; AM fungi,arbuscular mycorrhizal (AM),shoot that biomass; growth; shoot biomass,,pot,remediation; crops; contaminated,Amaranthus hypochondriacus; amaranth,,
10.3389/fpls.2020.00072,noninoculated controls; the biofertilizers; a bacterial consortium spp; microbial consortia; three; controls; the resident microbiome,Azoarcus; Rhizophagus irregularis; Bacillus megaterium; irregularis Bacillus megaterium aurantia; bacterial; commercial biofertilizers; irregularis R. megaterium; megaterium Frateuria aurantia; spp Azorhizobium; Rhizophagus irregularis vinelandii; Frateuria aurantia; Azospirillum spp,rhizosphere bacterial biomass biodiversity; plant growth; grain yield,,field,cultivation crop,Triticum; common wheat; aestivum; wheat,,
10.3390/microorganisms8030364,the AMF; the inoculation; AMF rhizosphere; TN; TC; AMF inoculation itself; AMF inoculation; interaction inoculation; SRE; AMF SRE; AMF,Arbuscular mycorrhizal fungi (AMF),growth the; nitrogen aboveground biomass; growth tissue; The growth; population growth,,,grassland degradation; degraded,grassland; Leymus chinensis; herbage grasslands; neighboring herbage,,Northern China
10.3390/ijms21051748,the growing medium; AM plants; water; high low; AM inoculation; drought; mycorrhizal fungus; AM non-AM,arbuscular mycorrhizal (AM),plant growth,,,crop,maize,,
10.3390/microorganisms8030327,AM; alkali stress; alkali conditions; with; without; AMF,arbuscular mycorrhizal fungi (AMF); arbuscular mycorrhizal fungi; AMF inoculation,seedling biomass; yield,,,salt-alkali grassland restoration,grassland; P. tenuiflora; Puccinellia tenuiflora,,northeastern China
10.1080/15226514.2020.1725867,combined application; Ri; the control; BC; single AMF; Cd Pb; Cd soil kg; Gv + BC; BC AMF Gv; BC AMF; biochar BC mosseae; single BC; biochar BC,versiforme Rhizophagus intraradices Ri; arbuscular mycorrhizal fungus (AMF)-Funneliformis mosseae (Fm); Glomus versiforme Gv intraradices; Glomus versiforme; Rhizophagus intraradices,growth maize; plant growth; the shoot biomass,Cd/Pb-polluted soils,greenhouse pot,artificially contaminated,corn; maize,,
10.1038/s41598-020-59447-9,growth hormone; fungi inoculation; soil type; AMF inoculation; The inoculation; S_C soil,arbuscular mycorrhizal fungi (AMF); AMF inoculation,biomass; the biomass; The aboveground biomass; maize growth content,S_C soil; sandy soil,,ecological restoration; mining,grassland; maize; Inner Mongolia,Hulunbuir,Eastern China
10.3390/microorganisms8020230,CMNs; N2 treatment; soil nutrient; N fertilization; nylon mesh; AM fungal; N levels; SOC,arbuscular mycorrhizal (AM),mean weight; plant biomass; the growth; plant growth,CMNs the functioning,,,Inner Mongolia,,
10.1007/s11356-020-07886-2,G.m; combined treatment; soil nutrient grading; treatment treatment inoculation; T4 treatment; combined remediation; Glomus moss; Ganzhou; D biochar; infected; T1; inoculation; AMF;   g/kg acid biochar; treatment inoculation; chicken manure,arbuscular mycorrhizal fungi (AMF),plant height; ryegrass biomass; ryegrass growth; the growth resistance,soil tailings,,remediation The T4 treatment-combined using; ecological remediation effective; Ganzhou ion-type rare earth mine; ecological remediation,the developed perennial ryegrass L.; ryegrass; Lolium perenne,,
10.1007/s00442-020-04598-9,adapted AMF; AMF; local AMF; mycorrhizal fungi,,growth; community biomass,,,,,,
10.1007/s11356-020-07781-w,AM fungi; Silver; AM arbuscular; soil microorganisms; AgNP treatments; AM fungal; Ag; AgNPs; The inoculation; inoculated treatments; without AM fungi,,biomass phosphorus,,,,maize L.; maize; Zea mays,,
10.1016/j.scitotenv.2019.136294,other treatments; lignin-derived biochar; AMF treatment; four AMF; Pb; (LBC; AMF; LBC mycelium; this treatment; inoculum sole treatments; LBC LN; LBC LN treatments; LBC; a consortium; water canals; TGSP; AMF  ; sole treatments; MBC,arbuscular mycorrhizal fungi (AMF); AMF inoculum,microbial biomass; a polluted soil polluted from Pb-acid batteries effluents,Pb-polluted soils,,cereal; edible crops grown; arable,barley,,Pakistan
10.1016/j.jenvman.2019.109982,when co-inoculated; microbial treatments; soil salinity; inoculated; PGPB AMF; the dual inoculation; PGPB; the treatments comprising; salt exposure; PGPB AMF inoculation; NaCl; the different treatments; AMF irregulare; inoculant treatments,arbuscular mycorrhizal fungi (AMF); plant growth-promoting bacteria; Rhizoglomus irregulare; Pseudomonas; Pantoea,growth maize status; growth maize health; then modelled biomass,salt-affected soils; Salt-affected soils,,crop,maize,,
10.1016/j.jhazmat.2019.121873,Co-inoculation; earthworms; Cd levels; AMF only; earthworms combination; Cd; AMF combination; Co-inoculation pH.; HM; AMF earthworms; Plants inoculated inoculated; AMF; heavy metal,Arbuscular mycorrhizal fungi (AMF),growth ameliorated; plant biomass; biomass shoot %; plant growth,HM-polluted soils; Cd-polluted soils,,,Solanum nigrum,,
10.1007/s11356-019-07300-6,AM inoculations; Ni stress; AM; PAs other; PAs AM; PAs; AL 201; Ni; PAs especially respective,AM Rhizobium; arbuscular mycorrhiza (AM),plant biomass; plant growth,,,toxic,pea; Pusa; pigeon pea); Cajanus cajan; pigeon pea,,
10.1007/s00572-019-00927-w,inoculated; mineral nutrient; AMF.These; solubility levels; three PGPB; TSP; PGPB; triple superphosphate; RP; fertilized; AMF,arbuscular mycorrhizal fungi (AMF); plant growth-promoting bacteria,biomass; growth tomato; the growth; growth; plant growth,,pots,,corn Tomato; tomato corn; Gafsa rock; corn; tomato; P. We,,
10.3390/microorganisms7120651,fertilization; unsterilized; the control+M treatment; -M treatments; control+M treatment; AM fungal; non-fertilization control; NPK; AM inoculation; non-inoculation -M; NPK-M,mosseae; Arbuscular mycorrhizal (AM) fungi; Funneliformis,growth; vegetative growth; biomass shoot; crop growth; plant biomass,alkaline soil,pot experiment,crop,maize L.; maize; Zea mays,,
10.3389/fmicb.2019.02634,the SNP; low P stress; ectomycorrhizal; Treatment; inoculated; low P; SNP alone; the SNP μmol/L; SNP treatment; SNP treatment μmol/L alone; SNP μmol/L Treatment alone; NO application; Alphaproteobacteria Gammaproteobacteria; inoculation; treatment alone; SNP treatments,Phaeoisaria Lophiostoma; Pseudomonas Ensifer Sulfitobacter; Podospora Phaeoisaria; Podospora Phaeoisaria Ascotaiwania Lophiostoma; Acremonium Penicillium; Ensifer Sulfitobacter; Pseudomonas Ensifer; Acremonium Monographella Penicillium; Tuber; Chinese; Acremonium Monographella,ratio biomass; The growth rate,,,,truffle; T. indicum-mycorrhized; truffles level quality; Tuber indicum; Carya illinoinensis; black truffle; T. indicum,,
10.3389/fmicb.2019.02591,Pb treatments kg; Inoculation; inoculation; Pb treatments all; Inoculated plants; Four treatments; the presence absence; treatments high; presence absence; Pb treatments; Pb treatments high; Pb; non-inoculated; inoculated non-inoculated,mosseae; mosseae F.; arbuscular mycorrhizal fungi; Funneliformis,The biomass,Pb-contaminated soil,pot experiment,,black locust; Robinia; grown pseudoacacia R.; pseudoacacia; woody,,
10.1007/s11356-019-06785-5,formic malic; As stress; As; arsenic; without AMF; AMF inoculation; The inoculation; arsenic As; AMF; The inoculation under,arbuscular mycorrihizal fungi (AMF); AMF inoculation,biomass yield; the biomass; the biomass yield,contaminated sites; contaminated soils,,heavy metals; the sustainable agriculture; agricultural,P. vittata; Pteris vittata; Astragalus sinicus,,
10.1007/s10661-019-7873-6,IBA ecology; microbiological physicochemical; industrial waste ETP; effluent treatment; effluent; biofertilizer; the approach IBA; effluent treatment organic; inoculation; VAM mycorrhiza,Engineering; arbuscular mycorrhiza; Gigaspora Glomus; Bradyrhizobium,biomass; the growth; biomass biomass aboveground; belowground biomass; biomass momentous,,,the mine; restoration; mining; mine; heavy metals; Restoration; coal mine,,,Durgapur India; Durgapur
10.1002/jsfa.10166,AM fungi; soil stress; AM root; inoculated plants; salt stress; a reference inoculum; non-inoculated; Chemical Industry; AM symbioses;   AM fungal; AM fungal; salt exposure; a native consortium isolated;   AM inocula; salinity stress; differentially colonized,inoculum Claroideoglomus claroideum Cc; Arbuscular mycorrhizal (AM); Claroideoglomus claroideum,biomass; a growth higher; biomass fresh; growth; plant growth; growth the compounds,saline soils,,lettuce; crop; agricultural,Grand Rapids; lettuce; Lactuca sativa; Grand Rapids' Bionda,,Atacama Desert; Lollo
10.1016/j.ecoenv.2019.109783,amending soils; chemical fungicides; pathogens soil-born; chemical fungicide; NPK; ABZ; these treatments; Chemical fungicides; AMF; mycorrhizae AMF; Inoculating; control treatment; fungicide the treatment; mildly infected; Vitavax-200; the above-mentioned treatments; treatments These; AMF  ; fungicide treatment,rolfsii S.; rolfsii; soil-born; Sclerotium rolfsii,shoot biomass; tuber yield; the tuber yields,,a field infected,,Helianthus tuberosus; canola,,
10.1038/s41598-019-51369-5,mycorrhizal colonisation; soil nutrient; with; without inoculation; AMF deficiency; ZIP; AMF,arbuscular mycorrhizal fungi (AMF); Rhizophagus irregularis,biomass; plant biomass,high soil,,,Medicago truncatula,,
10.1038/s41598-019-50354-2,unsterilized; Inoculation; colonized; inoculation; AM fungi,arbuscular mycorrhizal (AM),plant biomass; growth; plant growth; yields; rice yields,field soils,field greenhouse,,rice,,Louisiana States; United States
10.1016/j.chemosphere.2019.124710,biochar; biochar inoculants; residual biochar fertilizer; biochar P all; biochar amendments; Microbial inoculants; P-fertilization inoculantion; biochar + mycorrhizae; biochar P fertilizer; P-fertilization; fertilizer; Biochar; phosphorus solubilizing bacteria; PSB; microbial inoculation; mycorrhizal inoculation; biochar P,arbuscular mycorrhizal fungs (AMF); microbial inoculants,plant biomass; biomass shoot irrespective; plant growth,,,,Zea mays; differently textured; maize,,
