"","DOI","TREATMENT","INOCTYPE","RESPONSE","SOILTYPE","FIELDGREENHOUSE","LANDUSE","ECOTYPE","ECOREGION","LOCATION","journal"
"189","10.1093/jxb/erv561","combined inoculation; PSB Inoculation alone; the PSB; initially inoculated; the mycelium-associated PSB AM mycelium-associated; PSB; inoculation treatments; PSB irregularis; PSB AM mycelium-associated; sole; inoculation; The combination; the control; the added phytate-P; Inoculation; alone","alone Rhizophagus irregularis; arbuscular mycorrhizal (AM); Pseudomonas alcaligenes; alcaligenes Pseudomonadaceae; Rhizophagus irregularis; Pseudomonas alcaligenes Pseudomonadaceae; irregularis R.","shoot biomass; microbial biomass; the hyphal growth","hyphosphere soil; the hyphosphere",NA,"the hyphosphere","maize",NA,NA,"Journal of Experimental Botany"
"190","10.1016/j.jplph.2015.11.007","five fungal; AMF-bacteria; the inoculation; AM fungal; PGPB; single autochthonous; inocula these; native; autochthonous; dually inoculated plants; phosphate solubilization; osmotic stress; stress conditions; drought; autochthonous fungal strains","thuringiensis B.; arbuscular mycorrhizal (AM); Bacillus thuringiensis; endophytic bacteria; a native Bacillus thuringiensis bacteria; thuringiensis B. vitro","plant biomass; plant growth",NA,NA,"arbuscular mainly","Lavandula dentata","semiarid ecosystems",NA,"Journal of Plant Physiology"
"191","10.1371/journal.pone.0145726","non-mycorrhizal plants; AMF; Pb","AMF inoculation; mosseae intraradices R.; Funneliformis mosseae intraradices; Funneliformis mosseae; Arbuscular mycorrhizal fungi (AMF); mosseae intraradices F.; mosseae Rhizophagus intraradices; Rhizophagus intraradices","biomass; the growth","polluted soils; contaminated soils; contaminated soils heavily; heavy metal-contaminated","greenhouse",NA,"pseudoacacia; Robinia; leguminous tree; pseudoacacia R.",NA,NA,"PLOS ONE"
"192",NA,"both treatments; inoculated; bioremediation inoculated","g Glomus; arbuscular mycorrhizal fungus","dry biomass","polluted soil","pot experiment",NA,"Pteris vittata",NA,NA,NA
"193","10.1007/s00572-015-0670-3","AQP; AM; the AM fungus; AM plants; drought well-watered; drought; soil water; cDNAs","arbuscular mycorrhiza (AM); irregularis; Rhizophagus; Rhizophagus irregularis","plant biomass; dry mass",NA,"potted soil",NA,"Robinia; Robinia pseudoacacia; black locust; Robinia pseudoacacia named; pseudoacacia",NA,NA,"Mycorrhiza"
"194","10.1007/s00572-015-0666-z","AM root; MeJA; fertilizer; AMF; non-AM; AM; efficient AM fungus; non-mycorrhizal; AM fungi; four","AMF inoculation; versiformis Rhizophagus intraradices; Funneliformis mosseae; Diversispora versiformis; mosseae F.; namely Claroideoglomus etunicatum versiformis; Claroideoglomus etunicatum; arbuscular mycorrhiza (AM); etunicatum Diversispora versiformis mosseae intraradices; Rhizophagus intraradices; versiformis Funneliformis mosseae","fruit yields",NA,"pot",NA,"trifoliate orange; Poncirus trifoliata",NA,NA,"Mycorrhiza"
"195","10.3389/fpls.2015.00815","AMF inoculation; The ammonium; the inoculation control; PT2; PGPR Inoculation; same genes; soil inoculation; AMF control; N fertilization; PGPR AMF; N fertilizer; AMF+PGPR; microbe inoculation; Inoculation; inoculation control; in combination; PGPR; inoculation; inoculation AMF+PGPR; uninoculated control; Inoculation N.; the control; alone; unfertilized","plant growth-promoting rhizobacteria; arbuscular mycorrhizal fungi (AMF)","the aboveground biomass Inoculation; uptake yield; plant growth; biomass yield; the aboveground biomass yield compared",NA,"field",NA,"durum wheat; inner Sicily","Mediterranean area",NA,"Frontiers in Plant Science"
"196",NA,"P; AM fungi; AM; inoculation; RI Inoculation; mineral nutrient; optimal AM fungi; four AM fungi; CE; RI; salinity; non-saline; Inoculation","arbuscular mycorrhizal (AM); etunicatum Rhizophagus intraradices RI; Funneliformis mosseae; etunicatum Funneliformis mosseae FM; etunicatum versiforme GV; Claroideoglomus etunicatum; mycorrhizal fungi Claroideoglomus etunicatum CE intraradices mosseae Glomus versiforme; etunicatum Glomus; Rhizophagus intraradices","dry weight; biomass; the growth; biomass grown The contents; the biomass uptake",NA,"greenhouse pot; field","saline; the revegetation restoration; saline soils","Phragmites australis australis; wetland",NA,NA,NA
"197","10.1371/journal.pone.0128841","AM fungal; female plants; the AM fungus; inoculated inoculated; not inoculated; Drought; Pot-grown; females; drought; female; well-watered; drought mycorrhizal; AM fungi","Rhizophagus intraradices; arbuscular mycorrhizal (AM)","root growth; biomass ration total; shoot growth; root biomass; biomass system; growth; morphological growth",NA,NA,NA,"plant Populus cathayana; dioecious plant",NA,NA,"PLOS ONE"
"198","10.3390/jof1010055","ergosterol length; MB; the inoculation; Nitrogen fertilization; in-growth mesh; a inoculated mixture plorans; nitrogen fertilization; EM; inoculated","Suillus; Suillus placidus; Ectomycorrhizae EM","soil biomass fungal; Fungal biomass",NA,"a nursery",NA,"S. plorans sibircus; Pinus cembra; trees The; high-altitude; trees",NA,NA,"Journal of Fungi"
"199","10.1007/s00572-015-0638-3","invasive AMF; four AMF; AMF; water regimes; water; water regime","Diversispora aurantia; arbuscular mycorrhizal fungal (AMF); Paraglomus; species Rhizophagus irregularis; Diversispora; commercial inocula; Rhizophagus irregularis; irregularis R.; Septoglomus africanum","plant biomass; Plant biomass",NA,"microcosms containing; Field",NA,"Arabian desert; sorghum; Sorghum bicolor",NA,NA,"Mycorrhiza"
"200","10.3389/fmicb.2015.00203","ERM; multiple disruptions; non-mycorrhizosphere; EE-GRSP; nylon mesh; mycorrhizal inoculation","Funneliformis mosseae; Arbuscular mycorrhizas","mean weight; growth height; root biomass; plant growth; plant height",NA,NA,NA,"Poncirus trifoliata; Trifoliate orange",NA,NA,"Frontiers in Microbiology"
"201","10.1007/s11356-014-3837-0","combination; the inoculation; AM; treatment alone; same transport; As; AM treatment; Each treatment; P treatment; in combination; P treatment alone; the combination; The treatments; arsenic As; extensive arsenic As; alone","Rhizophagus irregularis known; Rhizophagus irregularis; Glomus intraradices; arbuscular mycorrhizal (AM)","dry weight; plant biomass; plant growth",NA,NA,NA,"Zea mays; maize; Southern Tuscany",NA,"Italy","Environmental Science and Pollution Research"
"202","10.1038/srep08122","AMF; wheat inoculated; uninoculated; inoculation; mycorrhizal inoculation","Funneliformis mosseae","biomass; plant growth; growth",NA,NA,NA,"wheat bean; wheat uninoculated; faba bean; Wheat; wheat; intercropping; competing wheat",NA,NA,"Scientific Reports"
"203","10.3389/fmicb.2014.00682","RWC; non-AM; AM fungus; AM; CaM; AM inoculation; WW DS; AM plants; leaf RWC; drought; AM-inoculation; soil water; well-watered WW stress; CaM mediated SODs; DS","highly arbuscular mycorrhizal (AM); Funneliformis mosseae","growth enzyme content calmodulin anion; plant height; growth; biomass",NA,NA,NA,"Poncirus trifoliata; Trifoliate orange Raf",NA,NA,"Frontiers in Microbiology"
"204","10.1016/j.jplph.2014.08.019","autochthonous; APX; Specific combinations; autochthonous allochthonous; Ri AM fungi; Bm inoculants; high osmotic stress; arbuscular-mycorrhizal AM; AM fungi; modulated water stress; stress damage; fungi Ri AM fungi; autochthonous bacteria; water limitation; non-inoculation; a consortium; non-inoculated; water stress; Psp inoculants; single inoculated; drought; Ri; Bt Psp; Mycorrhizal inoculation","Bacillus thuringiensis Bt; Bacillus megaterium; Bacillus thuringiensis; Rhizophagus intraradices Ri megaterium; Bacillus intraradices megaterium Bm putida; megaterium Pseudomonas putida Psp non-inoculation; Pseudomonas putida; Rhizophagus intraradices","plant growth; plant drought","Autochthonous microorganisms; arid soil",NA,NA,"Trifolium repens",NA,NA,"Journal of Plant Physiology"
"205","10.1007/s00572-014-0613-4","inoculation; spore dormancy; AMF; colonized","Arbuscular mycorrhizal fungi (AMF)",NA,NA,"cold; the greenhouse",NA,"Plantago lanceolata; temperate material; Arctic AMF",NA,"the Arctic; Arctic sites; Arctic regions","Mycorrhiza"
"206",NA,"ENPs; the controls; without; nano-ZnO levels; Cu; inoculation; nano-ZnO","arbuscular mycorrhizal inoculation; Arbuscular mycorrhizal fungi; arbuscular mycorrhizal fungus Acaulospora; arbuscular mycorrhizae","biomass; growth status; P the growth",NA,"pot present greenhouse; pot greenhouse",NA,"maize","terrestrial ecosystems",NA,NA
"207","10.1007/s00442-014-3091-7","AM fungi; inoculated three; AM fungal","Arbuscular mycorrhizal (AM) fungi","plant biomass; plant growth",NA,NA,NA,"semi-woody plants",NA,NA,"Oecologia"
"208","10.1007/s10646-014-1331-6","the treatments; Cd stress; Cd; three; uninoculated plants; non-mycorrhizal; Inoculation; Cd root","Glomus constrictum mosseae; isolates constrictum G.; mosseae; Glomus intraradices; Glomus mosseae; Glomus intraradices constrictum mosseae; Glomus constrictum; Glomus intraradices constrictum; constrictum; arbuscular mycorrhizal fungi; Arbuscular mycorrhizal fungi inoculations","6-week growth the first; 9-week growth; growth; maize biomass",NA,"planted pot",NA,"Zea mays; maize; Z. mays; maize L.",NA,NA,"Ecotoxicology"
"209","10.1007/s00572-014-0600-9","single dual mix; AM fungal; AM; suitable combination; Soil salinity; salt stress; in combination; Pusa; salinity; AM fungi; alone","F. mosseae; arbuscular mycorrhizal (AM); Funneliformis; Rhizophagus irregularis; irregularis R.","plant biomass; plant growth; biomass yield uptake; biomass highest yield","saline soil; saline soils","greenhouse",NA,"Paras Pusa; Cajanus cajan",NA,NA,"Mycorrhiza"
"210","10.1007/s00572-014-0596-1","optimal soil moisture; rhizosphere soil; soil moisture; colonized plants colonized; AMF; mixed AMF; Soil moisture; drought; Plants colonized colonized; drought control treatments; non-mycorrhizal; same treatment; mixed inoculum","AMF inocula; Heteropogon contortus; arbuscular mycorrhizal fungi (AMF); Rhizophagus irregularis; soil Rhizophagus irregularis collected; irregularis plants R.; Heteropogon contortus grass; irregularis inoculum R.","plant biomass","flooded soils","flooded treatment",NA,"Sorghum vulgare; Delhi; C4 grass","semi-arid",NA,"Mycorrhiza"
"211","10.1371/journal.pone.0101487","soil γ-irradiation; ZnSO4; AMF; inoculating; Inoculating; ZnSO4 fertilizer; sole; a non-indigenous AMF Inoculating","AMF inoculation; arbuscular mycorrhizal fungal (AMF)","plant biomass","calcareous soil","pot","Zinc deficiency","red clover; wheat bread",NA,NA,"PLoS ONE"
"212","10.1016/j.scitotenv.2014.06.045","competition; microbial groups; mycorrhizal fungi; helper bacteria; drought; microbial inoculations; AM fungi; green roof microbial communities; microbial mixture","arbuscular mycorrhizal fungi (AMF)","biomass; biomass increased; fungal biomass; the biomass",NA,NA,NA,"compost tea'",NA,NA,"Science of The Total Environment"
"213","10.1890/13-0025.1","AMF rhizobia; AMF; each combination; nutrient levels; presence identity","rhizobia; arbuscular mycorrhizal fungi (AMF)","plant biomass; mass; the growth; AMF responses",NA,NA,NA,"tallgrass prairies; prairie legume; canescens A.; Leguminous plants; Amorpha canescens",NA,NA,"Ecology"
"214","10.1111/nph.12876","RF; SF low; SF; NSC; high low respectively; RF SF high; low; alternating rhythm; RF SF; Inoculation","The root-rot pathogen Phytophthora quercina; Phytophthora quercina; quercina  ; Piloderma","shoot growth; growth",NA,NA,NA,"Quercus robur; robur Q.  ; Piloderma croceum; P. ; pedunculate oak; oak; robur Q.",NA,NA,"New Phytologist"
"215","10.1007/s00284-014-0589-5","rhizosphere soil; mycorrhizal fungus; the luteus days control; mycorrhizal fungi; inoculated when together; other treatments; virens T. treatment; inoculated; SOD","Suillus luteus; Roussel Trichoderma virens; luteus S. days; A.A. Foster; luteus S.; luteus virens S.; Trichoderma virens; luteus Roussel virens; the luteus S.; virens; Suillus luteus L. Roussel","dry weight; Seedling growth; biomass activity; height",NA,NA,"Foster Arx","T. virens; P. sylvestris; mongolica; Pinus sylvestris",NA,NA,"Current Microbiology"
"216","10.1371/journal.pone.0093967",NA,"arbuscular mycorrhizal fungi","mycorrhizal aboveground biomass; plant growth; lower aboveground biomass",NA,"field five-year; greenhouse; field",NA,"Czech Karst; herb; Aster amellus",NA,"Czech Republic","PLoS ONE"
"217","10.1016/j.jplph.2013.10.023","RWC; ADOR; AM fungi; AM; the AM fungus; PS II; Penicillium chrysogenum-10; non-AM AM plants; AM plants; non-bioremediated","Funneliformis mosseae; Penicillium; arbuscular mycorrhizal (AM)","plant growth; the growth development; root growth; the biomass",NA,NA,NA,"tomato plants; Coriolopsis floccosa; Tomato plants",NA,NA,"Journal of Plant Physiology"
"218","10.1007/s00572-014-0555-x","ectomycorrhizal; These treatments; combinations; colonized; non-inoculated control; non-inoculated controls; inoculation treatments; inoculated fungi; inoculation the; inoculated However","crustuliniforme; UAMH Laccaria; ectomycorrhizal fungi; strain # UAMH UAMH Suillus tomentosus; UAMH bicolor; UAMH tomentosus; strain # UAMH UAMH Laccaria bicolor; UAMH Suillus; crustuliniforme strain # UAMH; Amphinema byssoides; Amphinema byssoides americana; ectomycorrhizal inoculation; Hebeloma; crustuliniforme H.","height growth; dry biomass; growth survival; Seedling inoculation; growth","contaminant fungi","nursery; field","oil sands; reclamation","white spruce; jack pine; Pinus banksiana; Picea glauca; Thelephora americana",NA,NA,"Mycorrhiza"
"219","10.3732/ajb.1300262","the diploids hexaploids; noninoculated; AM inoculation; inoculated plants inoculated; diploids The; three; inoculation; AM fungi; the diploids","arbuscular mycorrhizal (AM)","only dry mass; plant growth; growth; shoot biomass; mycorrhizal growth",NA,"greenhouse",NA,"hexaploids; Aster amellus; Asteraceae; hexaploid plants; hexaploids benefiting",NA,NA,"American Journal of Botany"
"220","10.1590/s1517-83822014000400007","other AMF; The inoculum; AMF; AMF the tested; vermiculite; vermiculite irrigated; inoculum; AMF longula","infective inoculum; etunicatum C.; longula A.; heterogama D.; Gigaspora albida; Acaulospora longula etunicatum heterogama; arbuscular mycorrhizal fungi (AMF); Claroideoglomus etunicatum; Acaulospora longula; longula Claroideoglomus etunicatum","benefiting growth; biomass",NA,NA,NA,"Tropstrato); longula A.; Dentiscutata heterogama; maize; corn plants; The Tropstrato",NA,NA,"Brazilian Journal of Microbiology"
"221","10.1890/12-1943.1","presence absence; AM fungal; the presence absence; grazed; without mycorrhizal inoculum","arbuscular mycorrhizal (AM)","host biomass",NA,NA,NA,"Plantago lanceolata; catalpol aucubin",NA,NA,"Ecology"
"222","10.3389/fpls.2013.00338","Mycorrhizal treatment; treatments; AMF; AMF treatment; control; antagonists; Mycorrhizae","honey bees bees; Arbuscular mycorrhizal fungi (AMF); bees bees bumble Lepidoptera; AMF inoculum treatments","taxon-specific responses; plant biomass; plant growth; growth",NA,"a field","pollination","Cucumis sativus; Cucurbitaceae",NA,NA,"Frontiers in Plant Science"
"223","10.1016/j.chemosphere.2013.07.089","the in treatment; Cd; Gm; the inoculations 90036; AM fungi; Without AM fungal","Glomus; mosseae; arbuscular mycorrhizal (AM); Glomus caledonium","shoot biomasses","Cd-contaminated acidic; acidic soil; a Cd-contaminated kg(-1","greenhouse pot",NA,"ryegrass; stonecrop Ryegrass; ryegrass Gm-inoculated; Lolium perenne; stonecrop pot(-1; Sedum Hance; fast-growing perennial ryegrass L.; alfredii Hance; Alfred stonecrop; Sedum alfredii Hance",NA,NA,"Chemosphere"
"224","10.1093/aob/mct177","haustoria formed; haustorium; AM; AM fungus; AM pathway; AM inoculation; inoculation; AM plants; AM fungi","Glomus mosseae intraradices; mosseae G. intraradices; Glomus mosseae; arbuscular mycorrhizal (AM)","growth",NA,NA,NA,"vulgare Fleet'; Pedicularis rex; Pedicularis species; host barley; Pedicularis spp; Hordeum vulgare; P. tricolor; the root hemiparasites",NA,NA,"Annals of Botany"
"225",NA,"inoculating; grafted; non-grafted grafted; inoculated; Inoculation; non-grafted watermelon; non-inoculated","fungus versiforme G.; arbuscular mycorrhizal fungus Glomus versiforme; versiforme G.; arbuscular mycorrhizal fungus; versiforme G. C+M; versiforme; versiforme G. G+M","seedling biomass; dry mass; seedling growth",NA,"greenhouse pot",NA,"non-grafted watermelon growing; watermelon; watermelon seedling; grafted watermelon",NA,NA,NA
"226","10.1111/nph.12273","P; pathogens; pathogens mutualists; virus infections; mycorrhizal fungi; without; ambient CO(2; mock-inoculated; ambient phosphorus","arbuscular mycorrhizal inoculum","root biomass",NA,NA,NA,"grass",NA,NA,"New Phytologist"
"227","10.1007/s00572-013-0494-y","AM fungal; AM; single AM fungal; inoculation; AM fungi; Inoculation; intraradical fungal","Arbuscular mycorrhizal (AM); native fungal communities","plant growth; mycorrhizal growth; growth",NA,"greenhouse; 6-month",NA,"Knautia arvensis",NA,NA,"Mycorrhiza"
"228","10.1093/aob/mct062","glycine-N; As; mycorrhizal fungi; mycorrhizal non-mycorrhizal; CLB113; often ill-adapted important; three; mycorrhizal strains; inoculation; Non-mycorrhizal; Inoculation",NA,"the below-ground biomass",NA,"pots; a greenhouse",NA,"C. sinense; C. sinense adult; Cymbidium; Orchid mycorrhizas; terrestrial orchid; terrestrial orchids",NA,NA,"Annals of Botany"
"229","10.1093/aob/mct035","treatments; P treatments; low steady; the P treatments highest; mycorrhizal inoculum",NA,"dry weight; Shoot biomass; growth",NA,NA,NA,"legume; V. juncea",NA,"Australian","Annals of Botany"
"230","10.1111/pce.12082","non-native AMF; AMF native isolated; AMF; AM; non-mycorrhizal; the AMF native; plants inoculated; native AMF; salt stress; inoculated Plants inoculated; salinity stress; salinity desertification; Inoculation","arbuscular mycorrhizal fungi (AMF)","dry biomass; plant growth","K(+ higher; K(+",NA,"K(+; desertification","maize",NA,NA,"Plant, Cell &amp; Environment"
"231","10.1890/11-1715.1","ectomycorrhizal EM; all factorial combinations; EM",NA,"biomass; growth",NA,NA,NA,"Pinus radiata; Monterey pines; Monterey pine",NA,NA,"Ecology"
"232","10.1007/s00572-012-0460-0","ECM fungal; pre-inoculated; Denaturing; elevated ambient ppm; elevated ambient; mycorrhizal fungi; CO(2 the treatments; soil bacteria; ectomycorrhizal (ECM) ECM; ambient CO(2; non-inoculated","Suillus variegatus; Hebeloma velutipes variegatus; Hebeloma velutipes; velutipes Suillus variegatus","biomass composition",NA,"Suillus-inoculated microcosms; microcosms some; Microcosm",NA,"forest soil; Scots pine",NA,NA,"Mycorrhiza"
"233","10.1016/j.jhazmat.2012.08.020","treatment inoculated; the mycorrhizal NM treatment; AMF; single AMF; mixture treatments; Gg + Gv + Gm; treatment The inoculated; As; non mycorrhizal; Gm inoculated Gg + Gm; As40 soils; Gm; NM treatment; As80 soil; single combined inoculations; arsenic As; arsenic","G. mosseae Gm versiforme Gv; Glomus geosporum; arbuscular mycorrhizal fungi (AMF); Gg Gv; geosporum Gg; Gg; Glomus geosporum Gg; G. mosseae versiforme",NA,NA,"pot",NA,"Gg Gm Gm Gm Gv Gv Gv Gg +; upland rice; rice; Gg Gv; Oryza sativa; rice ingestible",NA,NA,"Journal of Hazardous Materials"
"234","10.1080/15226514.2011.619230","Mycorrhizal fungi; non mycorrhizal","Glomus intraradices; Arbuscular mycorrhizal fungi; plants Glomus intraradices","growth good; growth activity; the biomass","aluminium stress; Aluminium stress","greenhouse aluminium","aluminium; Aluminium; the Aluminium","Gmelina; mycorrhizal Gmelina; Gmelina plants",NA,NA,"International Journal of Phytoremediation"
"235","10.1007/s11274-011-0823-2","the treatments; Treatment; control; The days rooting medium; control un-inoculated; inoculation; treatments containing respectively intraradices","% Glomus intraradices; % Pseudomonas fluorescens; Azotobacter chroococcum %; arbuscular mycorrhizal (AM); Glomus aggregatum; Glomus intraradices; Trichoderma harzianum; % Glomus aggregatum; chroococcum % intraradices A.; Azotobacter chroococcum; Pseudomonas fluorescens; chroococcum % intraradices G. fluorescencs; % intraradices G. fluorescencs","yield herb; growth yield performances; the root biomass; growth yield; yield biomass; growth; shoot biomass; yield biomass higher achieved","pots/organic fields","field pot tested; field pot; nursery; pots; field","harvests","chroococcum % % intraradices A.; P. fluorescencs; herb; rooting",NA,NA,"World Journal of Microbiology and Biotechnology"
"236","10.1007/s00572-012-0446-y","ECM fungal; ECM; owing Nevertheless low H(2 =; low H(2; inoculated strains","Cadophora finlandia; Laccaria; Piloderma; byssoides A.; Amphinema byssoides; sp. Amphinema byssoides; ectomycorrhizal (ECM) ECM; Paxillus involutus","root growth",NA,"greenhouse experiment",NA,"Norway spruce; abies L. Karst; young trees; Picea abies; Spruce clones",NA,NA,"Mycorrhiza"
"237","10.1890/11-1247.1","EM especially; potential pathogens; AM fungal; AM; a conspecific; salt-amended; mycorrhizal fungi; ectomycorrhizal EM; nonmycorrhizal controls; EM; AM EM; nonmycorrhizal fungi","Hebeloma crustuliniforme; crustuliniforme H.; arbuscular mycorrhizal (AM)","shoot biomass; the growth; growth",NA,"greenhouse; the field; the field response; field","restoration; Salt-amended","invasive tamarisk sp.; tamarisk; Tamarisk; Tamarix sp.; Populus fremontii; cottonwoods neighboring; tamarisk neighbor; cottonwoods; native cottonwoods fremontii; Tamarisk neighbors",NA,NA,"Ecological Applications"
"238","10.1111/j.1438-8677.2012.00581.x","low moderate; defoliated Non-defoliated; moderately; Rhizobium; AM; treatment; non-defoliated defoliated; inoculum; salinity; non-defoliated plants; AM fungi","native AM fungi; arbuscular colonisation","shoot growth; Root growth; the growth attained","saline-sodic soil",NA,NA,"Lotus tenuis",NA,NA,"Plant Biology"
"239","10.1007/s11270-011-0915-5","combined; joint inoculation; cadmium Cd phytoextraction; inoculated plants; Cd Zn; cadmium Cd; bacterial cereus inoculations; Cd; Single joint; inoculated; single inoculations; Single inoculations","ectomycorrhizal fungus; cereus; + Bacillus cereus; Bacillus cereus; bacterial; Hebeloma mesophaeum; cereus B.","biomass; plant growth; lowest biomass","contaminated soil",NA,NA,"willows All inoculated; willows viminalis; Salix viminalis; cereus willows the; willows Salix viminalis; willows",NA,NA,"Water, Air, &amp; Soil Pollution"
"240",NA,"inoculated plants; g(-1 f.wt alkaloids; microbial consortium; Cu; PGPR; Triple inoculation; triple inoculation","Bacillus coagulans harzianum; coagulans Trichoderma harzianum; arbuscular mycorrhizal (AM); Glomus aggregatum; aggregatum+B.; harzianum G. coagulans+T.; Trichoderma harzianum; coagulans B.; Bacillus coagulans","dry weight; plant biomass; plant growth; growth nutrition content; plant height",NA,"nursery",NA,"Solanum viarum; viarum; T. harzianum",NA,NA,NA
"241",NA,"rhizosphere microorganism; actinomycetes; MCR alone; O3 AM genotype; the treatments; O3 genotype x; MCR; ambient O3; O3 nL; R123; O3 AM; O3; AM; AM inoculation; O3 AM genotype x; AM genotype; MCR altered; S156; Gram-positive bacteria; alone","arbuscular mycorrhizae (AM); Actinomycete","Biomass; biomass Gram-positive bacterial; biomass Actinomycete; microbial biomass","hyphosphere",NA,"hyphosphere","O3-tolerant snap bean; O3-sensitive O3-tolerant R123; O3-sensitive O3-tolerant",NA,NA,NA
"242",NA,"AM fungal; phosphorus fertilizer; Cu; inoculation; AM fungi; Inoculation",NA,"the growth using; the growth uptake microelement; the growth; biomass",NA,"pot culture",NA,"baicalensis S.; Scutellaria baicalensis",NA,NA,NA
"243","10.1890/10-1915.1","four AMF; four all together; single AMF; AMF; low high; no AMF; the AMF effective; low sand; combined biomass; four","arbuscular mycorrhizal fungi (AMF)","plant growth; growth; the yield",NA,NA,NA,"the legume; Lolium multiflorum; the legume Trifolium pratense multiflorum; Trifolium pratense; grass; the grass",NA,NA,"Ecology"
"244","10.1007/s00572-011-0391-1","AMF inoculation; syn; control plants; the treatments; AMF; inoculated; The following treatments; other treatments; the AMF applied; the inoculation i.e. future; Inoculation; laboratory experiment","AMF inoculation; Funneliformis geosporum; Funneliformis mosseae; intraradices Glomus mosseae; intraradices Mix R.; AMF inocula; Glomus constrictum; intraradices Glomus mosseae Mix constrictum; Glomus geosporum; Glomus mosseae; arbuscular mycorrhizal fungi (AMF); syn intraradices 3 Funneliformis mosseae; mosseae constrictum F.; syn Funneliformis constrictum; intraradices; syn Rhizophagus intraradices; syn Funneliformis constrictum geosporum; Funneliformis constrictum; intraradices Glomus; Glomus constrictum geosporum; mosseae F.; intraradices constrictum R.; intraradices intraradices Glomus mosseae constrictum geosporum geosporum; Rhizophagus intraradices","biomass activity",NA,NA,NA,"perforatum H.; Hypericum perforatum; Hypericaceae; this important herb; St. John's-wort",NA,NA,"Mycorrhiza"
"245","10.1186/1471-2229-11-98","mycorrhizal inoculation; emodin; mycorrhizal fungi; efficient nutrient; inoculation; non-mycorrhizal; coverage translocation; Inoculation; non-inoculated",NA,"height coverage; belowground biomass; fast growth",NA,"pot",NA,"F. xbohemica; xbohemica; Fallopia japonica; hybrid xbohemica; hybrid F. xbohemica; knotweed; F. sachalinensis clones",NA,NA,"BMC Plant Biology"
"246","10.1016/j.scitotenv.2011.04.029","AMF; inocula the tested; the AMF native; the effective treatment; the AMF; inoculated situ; Mycorrhizal inoculation","Glomus; indigenous AMF; AMF inoculum; sp. G. intraradices mixture; G. intraradices; arbuscular mycorrhizal fungi inoculation","plant biomass; Plant growth",NA,"field","degraded","O. europaea","semiarid",NA,"Science of The Total Environment"
"247","10.1016/j.ejsobi.2011.03.001","four AMF; a mixture; soil sand; AMF","Glomus geosporum; Glomus claroideum geosporum intraradices; Glomus claroideum; Glomus intraradices; Glomus claroideum geosporum mosseae; Glomus geosporum intraradices; Glomus mosseae; arbuscular mycorrhizal fungi (AMF); Glomus claroideum mosseae","plant biomass; biomass; growth; Plant growth; growth production",NA,"greenhouse",NA,"grassland; Arrhenatherum elatius; leguminous forb; Plantago lanceolata; Trifolium pratense; grass; Salvia pratensis",NA,NA,"European Journal of Soil Biology"
"248","10.1007/s00572-011-0379-x","ectomycorrhizal; the competition; ectomycorrhizal fungi; the subsequent inoculation; increased foliar-N foliar-P; antagonism; other fungi; foliar-N foliar-P contents; in combination; individually; Inoculation","ectomycorrhizal fungus; fasciculare H.","growth status; growth; plant growth",NA,"pot",NA,"Pisolithus; P. tinctorius; Castanea sativa; chestnut; chestnut tree Mill; chestnut tree",NA,"Northeast Portugal; Northeast of","Mycorrhiza"
"249","10.1007/s00572-011-0370-6","water stress; inoculated plants; PSII; control; arbuscular ectomycorrhiza oak; infected; water; drought; well-watered shortage; water shortage; water regime; inoculation; selected arbuscular ectomycorrhiza; inoculation stress; non-inoculated",NA,"growth; Plant biomass",NA,"the nursery","urban","Quercus robur; Tilia cordata; containerized plants; Acer campestre; linden oak; oak; maple linden",NA,NA,"Mycorrhiza"
"250","10.1007/s00572-011-0372-4","low nutrient levels; ERM; AM fungal; As; non-mycorrhizal inoculated; inoculated treatments; mycorrhizal treatments; nitrogen depletion; AM fungi; the ERM","arbuscular mycorrhiza (AM); Sisymbrium loeselii","the growth; growth; the biomass",NA,"greenhouse","succession","T. inodorum; Tripleurospermum inodorum; Sisymbrium",NA,NA,"Mycorrhiza"
"251","10.1016/j.jplph.2010.12.019","well-watered; AM plants; AM A. inoculations; non-AM treatments; water; dually inoculated; well-watered drought; inoculation the AM fungus; Inoculation; Water deficit treatment; water limitation; AM treatments; inoculation; water stress; combination; stress treatment the; AM; single AM plants; microbial consortium; drought; AM brasilense both inoculations","brasilense A.; arbuscular mycorrhizal (AM); Azospirillum brasilense; Azospirillum brasilense combination; brasilense","poor biomass; rice growth; a higher biomass",NA,NA,NA,"rice; rice AM",NA,NA,"Journal of Plant Physiology"
"252","10.1007/s12011-011-8973-5","Se; non-mycorrhizal treatment; selenium Se; three plants; mycorrhizal treatment; Se organic total; Mycorrhizal inoculation","arbuscular mycorrhizal fungus (Glomus mosseae","accumulation biomass",NA,NA,NA,"alfalfa maize soybean; soybean; maize soybean; maize; alfalfa; alfalfa maize",NA,NA,"Biological Trace Element Research"
